id,fen,side_to_move,solution_moves,pre_eval_cp,best_eval_cp,played_eval_cp,eval_gap_cp,heuristic_difficulty,is_mate,source_game,created_at,label_good
220,r1bqkb1r/pp3p1p/2n1pnp1/2p1N3/2B2P2/2NP4/PPP3PP/R1BQ1RK1 b kq - 3 9,b,"[""c8d7""]",29,-36,-199,163,1000.0,0,cahxree_2024_2025.pgn#32#ply18,2025-12-02 21:24:51,0
221,r1b1kb1r/pp3p1p/2n1pnp1/2p1N3/2Bq1P2/2NP4/PPP3PP/R1BQ1R1K b kq - 5 10,b,"[""f8e7""]",189,-180,-340,160,1000.0,0,cahxree_2024_2025.pgn#32#ply20,2025-12-02 21:24:51,0
222,r1b1kb1r/pp3p1p/4pnp1/2p1P3/2Bq4/2NP4/PPP3PP/R1BQ1R1K b kq - 0 11,b,"[""d4e5""]",380,-389,-505,116,1000.0,0,cahxree_2024_2025.pgn#32#ply22,2025-12-02 21:24:52,0
223,r1b1kb1r/pp3p1p/4p1p1/1Bp1n3/3q4/2NP1Q2/PPP3PP/R1B2R1K b kq - 1 13,b,"[""c8d7""]",419,-401,-626,225,1000.0,0,cahxree_2024_2025.pgn#32#ply26,2025-12-02 21:24:53,0
224,r6r/ppn2ppp/2pk1p2/8/P2P4/3K1N2/1P3PPP/R3R3 b - - 0 17,b,"[""a7a5""]",-202,206,129,77,1000.0,0,cahxree_2024_2025.pgn#33#ply34,2025-12-02 21:25:03,0
225,r3r3/1pn2ppp/p1pk1p2/8/PP1P4/3K4/3N1PPP/R3R3 b - - 2 19,b,"[""c7d5""]",-196,216,85,131,1000.0,0,cahxree_2024_2025.pgn#33#ply38,2025-12-02 21:25:04,0
226,r7/1p3ppp/p1pk1p2/3n4/PPNP4/3K4/5PPP/4R3 b - - 2 21,b,"[""d6c7""]",-160,158,102,56,1000.0,0,cahxree_2024_2025.pgn#33#ply42,2025-12-02 21:25:05,0
227,r7/3k1ppp/2p2p2/Np1n4/1P1P4/3K4/5PPP/1R6 b - - 1 24,b,"[""d5b4""]",-409,434,217,217,1050.0,0,cahxree_2024_2025.pgn#33#ply48,2025-12-02 21:25:06,1
228,r7/3k1ppp/2p2p2/Np6/1P1PKn2/8/5PPP/1R6 b - - 3 25,b,"[""f4d5""]",-386,409,192,217,1050.0,0,cahxree_2024_2025.pgn#33#ply50,2025-12-02 21:25:07,1
229,r7/1N1k1ppp/2p2pn1/1p6/1P1PK3/8/5PPP/1R6 b - - 5 26,b,"[""g6e7""]",-288,299,247,52,1000.0,0,cahxree_2024_2025.pgn#33#ply52,2025-12-02 21:25:07,0
230,8/3k1ppp/2p2pn1/1pN5/1P1PK3/8/r4PPP/1R6 b - - 7 27,b,"[""d7d6""]",-282,296,241,55,1000.0,0,cahxree_2024_2025.pgn#33#ply54,2025-12-02 21:25:08,0
231,8/2k2p1p/2p2pp1/1p1n4/1P1P1NPP/1R3K2/5P2/4r3 b - - 4 33,b,"[""d5f4""]",-296,274,60,214,1000.0,0,cahxree_2024_2025.pgn#33#ply66,2025-12-02 21:25:11,1
232,rnbqkb1r/pppp1ppp/5n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 3,b,"[""d7d6""]",47,-50,-103,53,1000.0,0,cahxree_2024_2025.pgn#34#ply6,2025-12-02 21:25:12,0
233,rnb1kb1r/ppp1qppp/3p4/8/3Pn3/5N2/PPP1BPPP/RNBQK2R b KQkq - 1 6,b,"[""e7d8""]",106,-101,-166,65,1000.0,0,cahxree_2024_2025.pgn#34#ply12,2025-12-02 21:25:13,0
234,2kr1b1r/pppnqppp/3p4/8/3Pn3/5B1P/PPP2PP1/RNBQR1K1 b - - 2 10,b,"[""d6d5""]",218,-183,-234,51,1000.0,0,cahxree_2024_2025.pgn#34#ply20,2025-12-02 21:25:15,0
235,2kr1b1r/ppp1q1pp/5n2/3p1pB1/3Pn3/2NQ1B1P/PPP2PP1/R3R1K1 b - - 1 13,b,"[""e7f7""]",-49,49,-20,69,1000.0,0,cahxree_2024_2025.pgn#34#ply26,2025-12-02 21:25:17,0
236,2kr1b1r/1pp3pp/p4q2/3p1p2/3Pn3/2NQ3P/PPP2PP1/R2BR1K1 b - - 1 15,b,"[""h7h5""]",-199,216,163,53,1000.0,0,cahxree_2024_2025.pgn#34#ply30,2025-12-02 21:25:18,0
237,2kr1b1r/1pp3pp/p7/3p1p2/3Pn2q/2N2Q1P/PPP2PP1/R2BR1K1 b - - 3 16,b,"[""g7g6""]",-190,170,114,56,1000.0,0,cahxree_2024_2025.pgn#34#ply32,2025-12-02 21:25:18,0
238,1k1r3r/1pp3pp/p7/3p1p2/3Pn2q/P1P2Q1P/2P1BPP1/R3R1K1 b - - 2 19,b,"[""g7g6""]",-159,171,-10,181,1000.0,0,cahxree_2024_2025.pgn#34#ply38,2025-12-02 21:25:20,0
239,1k1r3r/1pp3pp/p7/3p4/2PPnp1q/P4Q1P/2P1BPP1/R3R1K1 b - - 0 20,b,"[""e4d2""]",-65,79,-84,163,1000.0,0,cahxree_2024_2025.pgn#34#ply40,2025-12-02 21:25:20,0
240,rnb1kbnr/pp2pppp/2p5/q7/3N4/2N5/PPPP1PPP/R1BQKB1R b KQkq - 1 5,b,"[""g8f6""]",13,-10,-73,63,1000.0,0,cahxree_2024_2025.pgn#35#ply10,2025-12-02 21:25:23,0
241,rb1q1rk1/1p1n1ppp/p1p1p3/8/4PP2/PN2B1P1/1PP4P/R2QR1K1 b - - 1 17,b,"[""b7b5""]",36,-36,-101,65,1000.0,0,cahxree_2024_2025.pgn#35#ply34,2025-12-02 21:25:28,0
242,rb1q1rk1/1p3ppp/p1p1p3/4P3/2P2P2/PN2R1P1/1P5P/R2Q2K1 b - - 0 20,b,"[""b8a7""]",1,0,-81,81,1000.0,0,cahxree_2024_2025.pgn#35#ply40,2025-12-02 21:25:30,0
243,r2q1rk1/bp3ppp/2p1p3/2N1P3/1PP2P2/4R1P1/7P/R2Q2K1 b - - 0 23,b,"[""d8e7""]",-237,235,153,82,1000.0,0,cahxree_2024_2025.pgn#35#ply46,2025-12-02 21:25:31,0
244,3q1rk1/1p3ppp/2p1p3/2P1P3/2P2P2/4R1P1/7P/Q5K1 b - - 0 25,b,"[""g7g6""]",-130,150,96,54,1000.0,0,cahxree_2024_2025.pgn#35#ply50,2025-12-02 21:25:32,0
245,r7/1R3pkp/2p1p1p1/2P1P3/2P2Pq1/3Q2P1/7P/6K1 b - - 0 31,b,"[""h7h5""]",-79,78,9,69,1000.0,0,cahxree_2024_2025.pgn#35#ply62,2025-12-02 21:25:35,0
246,r2qk2r/4ppbp/p2p1np1/npp3B1/3P2b1/2P1PN2/PP1N1PPP/RB1QK2R b KQkq - 1 12,b,"[""c5d4""]",-27,29,-46,75,1000.0,0,cahxree_2024_2025.pgn#36#ply24,2025-12-02 21:25:43,0
247,r2qk2r/3bpp1p/p2p1bp1/np6/2pP2P1/2P1PN1P/PP1N1P2/RB1QK2R b KQkq - 0 15,b,"[""f6g7""]",-80,89,15,74,1000.0,0,cahxree_2024_2025.pgn#36#ply30,2025-12-02 21:25:45,0
248,r3k2r/4ppb1/p1n3pp/1p1q4/2pPN1P1/2P2N1P/PP2QP2/R3K2R b KQkq - 3 22,b,"[""e8g8""]",-93,98,-89,187,1000.0,0,cahxree_2024_2025.pgn#36#ply44,2025-12-02 21:25:48,0
249,2kr3r/4p3/p1n1Q2p/1pq2p2/2pN4/2P4P/PP3P2/2KR3R b - - 2 27,b,"[""c8b7""]",59,-71,-805,734,1150.0,0,cahxree_2024_2025.pgn#36#ply54,2025-12-02 21:25:51,0
250,rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,b,"[""d7d5""]",23,-21,-87,66,1000.0,0,cahxree_2024_2025.pgn#37#ply4,2025-12-02 21:25:52,0
251,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 2 4,b,"[""f8b4""]",66,-74,-150,76,1000.0,0,cahxree_2024_2025.pgn#37#ply8,2025-12-02 21:25:53,0
252,rn1qkb1r/pbpp2pp/1p2ppn1/8/3PP3/2N2NB1/PPP2PPP/R2QKB1R b KQkq - 3 7,b,"[""f8b4""]",97,-90,-225,135,1000.0,0,cahxree_2024_2025.pgn#37#ply14,2025-12-02 21:25:54,0
253,rn1qkb1r/pbp3pp/1p1p1pn1/4p2P/3PP3/2N2NB1/PPP2PP1/R2QKB1R b KQkq - 0 9,b,"[""g6e7""]",259,-234,-329,95,1000.0,0,cahxree_2024_2025.pgn#37#ply18,2025-12-02 21:25:55,0
254,r2qkb1r/pbpn2pp/1p1p1p2/1B1P3P/4Pp2/2N2N2/PPP2PP1/R2QK2R b KQkq - 2 12,b,"[""d8e7""]",336,-324,-386,62,1000.0,0,cahxree_2024_2025.pgn#37#ply24,2025-12-02 21:25:57,0
255,2kr1b1r/1bp3pp/pp3q2/3P1p1P/5Q2/2N2N2/PPP2PP1/2KR3R b - - 2 19,b,"[""f8d6""]",41,-48,-202,154,1000.0,0,cahxree_2024_2025.pgn#37#ply38,2025-12-02 21:26:00,0
256,1k2r2r/1bp3N1/pp1b1p1p/3P3P/8/2N5/PPP2PP1/2KR3R b - - 3 24,b,"[""e8g8""]",86,-77,-194,117,1000.0,0,cahxree_2024_2025.pgn#37#ply48,2025-12-02 21:26:02,0
257,1k5r/1bp3N1/pp1b1p1p/3Pr2P/5P2/2N5/PPP3P1/2KR3R b - - 0 25,b,"[""e5e7""]",99,-90,-274,184,1000.0,0,cahxree_2024_2025.pgn#37#ply50,2025-12-02 21:26:03,0
258,r2qk2r/ppp1bppp/2bp1n2/6B1/3QP3/2N2N2/PPP2PPP/2KR3R b kq - 5 9,b,"[""e8g8""]",45,-35,-164,129,1000.0,0,cahxree_2024_2025.pgn#38#ply18,2025-12-02 21:26:07,0
259,5rk1/ppp1q1pp/2b5/4p3/8/6Q1/PPP3PP/2KNR3 b - - 1 18,b,"[""e7f7""]",-228,238,105,133,1000.0,0,cahxree_2024_2025.pgn#38#ply36,2025-12-02 21:26:12,0
260,6k1/ppp1q1pp/2b2r2/8/8/4p1Q1/PPP3PP/1K1NR3 b - - 1 21,b,"[""f6g6""]",-242,246,168,78,1000.0,0,cahxree_2024_2025.pgn#38#ply42,2025-12-02 21:26:13,0
261,6k1/ppp1q1pp/2b2r2/8/8/4N1Q1/PPP1p1PP/1K2R3 b - - 1 22,b,"[""f6g6""]",-150,207,-323,530,1150.0,0,cahxree_2024_2025.pgn#38#ply44,2025-12-02 21:26:13,1
262,6k1/ppp1q1pp/5r2/1b1N4/8/6Q1/PPP1p1PP/1K2R3 b - - 3 23,b,"[""e7d8""]",375,-360,-494,134,1000.0,0,cahxree_2024_2025.pgn#38#ply46,2025-12-02 21:26:14,0
263,6k1/ppp2qpp/5N2/1b6/8/6Q1/PPP1p1PP/1K2R3 b - - 0 24,b,"[""g8h8""]",568,-580,-658,78,1000.0,0,cahxree_2024_2025.pgn#38#ply48,2025-12-02 21:26:14,0
264,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,b,"[""b8c6""]",23,-31,-104,73,1000.0,0,cahxree_2024_2025.pgn#39#ply6,2025-12-02 21:26:16,0
265,r1b1r1k1/ppp2pp1/2np4/6B1/7P/3Q4/PPP2qP1/2K2R1R b - - 1 17,b,"[""f2c5""]",-431,458,315,143,1050.0,0,cahxree_2024_2025.pgn#39#ply34,2025-12-02 21:26:23,0
266,r1b1r1k1/ppp2pp1/2np4/6B1/4q2P/8/PPPQ4/2K2RR1 b - - 3 19,b,"[""c6d4""]",-478,471,306,165,1050.0,0,cahxree_2024_2025.pgn#39#ply38,2025-12-02 21:26:24,0
267,r3r1k1/ppp2p2/2np1Bp1/5b1P/4q3/8/PPPQ4/2K2RR1 b - - 0 21,b,"[""e8e6""]",-360,368,143,225,1000.0,0,cahxree_2024_2025.pgn#39#ply42,2025-12-02 21:26:25,1
268,7B/ppp2k2/2np4/5p2/8/8/PPP2K2/8 b - - 3 29,b,"[""c6b4""]",-557,551,459,92,1050.0,0,cahxree_2024_2025.pgn#39#ply58,2025-12-02 21:26:29,0
269,5B2/ppp5/3p4/4n3/4k3/1P3p2/P1P5/5K2 b - - 1 35,b,"[""e5g4""]",-644,644,547,97,1050.0,0,cahxree_2024_2025.pgn#39#ply70,2025-12-02 21:26:31,0
270,r1b1k2r/ppqpppbp/2n3p1/8/4P3/2PBPN2/PPQN2PP/R4RK1 b kq - 0 11,b,"[""g7h6""]",-143,139,57,82,1000.0,0,cahxree_2024_2025.pgn#40#ply22,2025-12-02 21:26:38,0
271,8/7p/6pk/1p3p2/pR2p2q/P1P1P3/1P1R2P1/5K2 b - - 7 36,b,"[""h6g5""]",-318,324,0,324,1150.0,0,cahxree_2024_2025.pgn#40#ply72,2025-12-02 21:26:50,1
272,8/7p/6pk/1p6/p3Rp1q/P1P1P3/1P1R2P1/5K2 b - - 0 37,b,"[""h4h1""]",0,0,-104,104,1000.0,0,cahxree_2024_2025.pgn#40#ply74,2025-12-02 21:26:50,0
273,8/6k1/8/1p4qp/p3R3/P1P2R2/1P4PK/8 b - - 2 48,b,"[""g5d5""]",227,-225,-564,339,1150.0,0,cahxree_2024_2025.pgn#40#ply96,2025-12-02 21:26:55,0
274,8/6k1/8/1p4q1/p3R2p/P1P4R/1P4PK/8 b - - 1 49,b,"[""g5d5""]",426,-429,-528,99,1000.0,0,cahxree_2024_2025.pgn#40#ply98,2025-12-02 21:26:56,0
275,8/8/8/1p2k3/pR4R1/P1P1q3/1P4PK/8 b - - 12 56,b,"[""e5d6""]",269,-273,-350,77,1000.0,0,cahxree_2024_2025.pgn#40#ply112,2025-12-02 21:26:59,0
276,8/8/8/1p2k3/pR4R1/P1P1q3/1P4P1/5K2 b - - 16 58,b,"[""e3c1""]",279,-284,-340,56,1000.0,0,cahxree_2024_2025.pgn#40#ply116,2025-12-02 21:27:00,0
277,8/8/8/1p2k3/pR4R1/P1P3K1/1P1q2P1/8 b - - 24 62,b,"[""d2e3""]",300,-307,-382,75,1000.0,0,cahxree_2024_2025.pgn#40#ply124,2025-12-02 21:27:02,0
278,r1bqkbnr/pppp1ppp/2n5/4p3/8/2NPP3/PPP2PPP/R1BQKBNR b KQkq - 2 3,b,"[""d7d5""]",-65,48,-13,61,1000.0,0,cahxree_2024_2025.pgn#42#ply6,2025-12-02 21:27:04,0
279,r1bqk1nr/ppp1nppp/1b1p4/3P4/8/2NB1N2/PPP2PPP/R1BQK2R b KQkq - 2 8,b,"[""h7h6""]",31,-30,-108,78,1000.0,0,cahxree_2024_2025.pgn#42#ply16,2025-12-02 21:27:07,0
280,2kr2nr/pppqnppp/1b1p4/3P2B1/6P1/2NQ1N1P/PPP2P2/2KRR3 b - - 4 14,b,"[""h7h5""]",28,-22,-94,72,1000.0,0,cahxree_2024_2025.pgn#42#ply28,2025-12-02 21:27:10,0
281,2kr2nr/pppqnppp/1b1p4/3P2B1/6P1/2NQ1N1P/PPP1R3/2K1R3 b - - 3 16,b,"[""e7g6""]",-3,14,-59,73,1000.0,0,cahxree_2024_2025.pgn#42#ply32,2025-12-02 21:27:11,0
282,2kr3r/pppqn1pp/1b3p2/3Pp1P1/4N3/3Q1N1P/PPP1R3/2K1R3 b - - 2 21,b,"[""e7d5""]",-347,348,169,179,1000.0,0,cahxree_2024_2025.pgn#42#ply42,2025-12-02 21:27:13,0
283,2kr3r/pppqn1pp/1b6/3PNpP1/4N3/3Q3P/PPP1R3/2K1R3 b - - 0 22,b,"[""d7d5""]",-173,176,-8,184,1000.0,0,cahxree_2024_2025.pgn#42#ply44,2025-12-02 21:27:14,0
284,2kr3r/1pp1R1pp/1p6/3P2P1/8/3p3P/PPP5/2K1R3 b - - 0 25,b,"[""d8d5""]",0,3,-105,108,1000.0,0,cahxree_2024_2025.pgn#42#ply50,2025-12-02 21:27:15,0
285,2kr4/1pp3Rp/1p6/2r3P1/7P/8/PPp5/2K1R3 b - - 2 29,b,"[""d8h8""]",83,-83,-375,292,1000.0,0,cahxree_2024_2025.pgn#42#ply58,2025-12-02 21:27:17,0
286,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,b,"[""e5d4""]",5,-1,-75,74,1000.0,0,cahxree_2024_2025.pgn#43#ply6,2025-12-02 21:27:18,0
287,r1b1k1nr/ppp2ppp/2n5/3q4/2PPp3/5N2/P1PB1PPP/R2QKB1R b KQkq - 0 8,b,"[""d5f5""]",-93,113,6,107,1000.0,0,cahxree_2024_2025.pgn#43#ply16,2025-12-02 21:27:21,0
288,r1b1k1nr/ppp2ppp/2n5/7q/2PPp3/5N2/P1PBQPPP/R3KB1R b KQkq - 2 9,b,"[""g8f6""]",-16,8,-217,225,1000.0,0,cahxree_2024_2025.pgn#43#ply18,2025-12-02 21:27:21,0
289,r3k2r/ppp1nppp/2n5/7q/2PP1Q2/5N2/P1bB1PPP/2R1KB1R b Kkq - 1 12,b,"[""c2a4""]",267,-282,-419,137,1000.0,0,cahxree_2024_2025.pgn#43#ply24,2025-12-02 21:27:23,0
290,2kr3r/ppp1np1p/6b1/3P4/1nP3P1/5N2/P2B1P1P/2R1KB1R b K - 2 17,b,"[""h8e8""]",-52,44,-252,296,1000.0,0,cahxree_2024_2025.pgn#43#ply34,2025-12-02 21:27:25,0
291,2k4r/ppp1np1p/8/3P4/2P3P1/2R2n2/P4P1P/3K3R b - - 1 23,b,"[""f3e5""]",-63,72,-322,394,1150.0,0,cahxree_2024_2025.pgn#43#ply46,2025-12-02 21:27:28,0
292,2kr4/ppp2p1p/3P2n1/2P3n1/6P1/2R5/P4P1P/3KR3 b - - 0 26,b,"[""g5e6""]",-103,117,66,51,1000.0,0,cahxree_2024_2025.pgn#43#ply52,2025-12-02 21:27:30,0
293,2kr4/ppp2p1p/3P4/2P3n1/5nP1/2R5/P4P1P/2K1R3 b - - 2 27,b,"[""g5e6""]",-117,114,36,78,1000.0,0,cahxree_2024_2025.pgn#43#ply54,2025-12-02 21:27:30,0
294,rnbqk2r/pppp1ppp/5n2/2b1p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 2 4,b,"[""f6g4""]",-69,70,-2,72,1000.0,0,cahxree_2024_2025.pgn#44#ply8,2025-12-02 21:27:32,0
295,r3k2r/pp1nq1pp/2pppn2/2b5/N3PB2/7P/PPP1BPP1/R2QK2R b KQkq - 3 11,b,"[""e6e5""]",-94,83,-42,125,1000.0,0,cahxree_2024_2025.pgn#44#ply22,2025-12-02 21:27:35,0
296,2kr3r/pp1nq1pp/2pppn2/8/Nb2PB2/2P4P/P3BPP1/R2QK2R b KQ - 0 13,b,"[""b4c5""]",-176,172,40,132,1000.0,0,cahxree_2024_2025.pgn#44#ply26,2025-12-02 21:27:36,0
297,2kr3r/pp1n1qpp/2pBpn2/b7/N3P3/2P4P/P3BPP1/1R1QK2R b K - 2 15,b,"[""f6e4""]",-339,349,45,304,1150.0,0,cahxree_2024_2025.pgn#44#ply30,2025-12-02 21:27:37,1
298,2kr3r/pp3qpp/1npBp3/b3P3/N3n3/2P4P/P3BPP1/1R1Q1RK1 b - - 2 17,b,"[""e4d6""]",-19,17,-396,413,1150.0,0,cahxree_2024_2025.pgn#44#ply34,2025-12-02 21:27:38,0
299,2kr3r/pp3qpp/2pBp3/b2nP3/N3n3/1QP4P/P3BPP1/1R3RK1 b - - 4 18,b,"[""e4d2""]",133,-107,-359,252,1000.0,0,cahxree_2024_2025.pgn#44#ply36,2025-12-02 21:27:39,0
300,2kr3r/pR4pp/2pBp3/b2nP3/N7/2n4P/P3BPP1/5RK1 b - - 0 20,b,"[""c3e2""]",-600,596,465,131,1050.0,0,cahxree_2024_2025.pgn#44#ply40,2025-12-02 21:27:40,0
301,3r3r/pk4pp/2pBp3/b1NnP3/8/2n4P/P3BPP1/5RK1 b - - 1 21,b,"[""b7b6""]",-478,481,-100000,100481,1200.0,0,cahxree_2024_2025.pgn#44#ply42,2025-12-02 21:27:40,1
302,r1bqr1k1/1pp2ppp/p1nb1n2/3pp3/1PP5/P2P1NP1/1B1NPPBP/R2Q1RK1 b - - 0 10,b,"[""e5e4""]",22,-21,-76,55,1000.0,0,cahxree_2024_2025.pgn#45#ply20,2025-12-02 21:27:45,0
303,r2qrbk1/1pp2ppp/p1n2n2/2P1p3/1PNp2bN/P2P2P1/1B2PPBP/R2Q1RK1 b - - 4 13,b,"[""f6d5""]",-31,10,-45,55,1000.0,0,cahxree_2024_2025.pgn#45#ply26,2025-12-02 21:27:46,0
304,r2qrbk1/1pp2p1p/p1n2n2/2P1p1p1/1PNp2b1/P2P1NP1/1B2PPBP/R2Q1RK1 b - - 1 14,b,"[""h7h6""]",47,-53,-125,72,1000.0,0,cahxree_2024_2025.pgn#45#ply28,2025-12-02 21:27:47,0
305,r2qrbk1/1pp2p1p/p1n2n2/2P1p1p1/1PNp4/P2P1BP1/1B2PP1P/R2Q1RK1 b - - 0 15,b,"[""e5e4""]",132,-112,-177,65,1000.0,0,cahxree_2024_2025.pgn#45#ply30,2025-12-02 21:27:47,0
306,1r2rbk1/2p2p1p/p1p2n2/2Pqp1p1/1PN5/P2PP1P1/1B2Q2P/R4RK1 b - - 0 19,b,"[""f6d7""]",211,-212,-289,77,1000.0,0,cahxree_2024_2025.pgn#45#ply38,2025-12-02 21:27:49,0
307,1r2r1k1/2pn1pbp/p1p5/2Pqp1R1/1PN5/P2PP1P1/1B2Q2P/R5K1 b - - 0 21,b,"[""f7f6""]",293,-283,-357,74,1000.0,0,cahxree_2024_2025.pgn#45#ply42,2025-12-02 21:27:50,0
308,1r6/2pn1rbk/p1p1qp1p/2P1pR1R/1PN1P3/P2P2P1/4Q2P/2B3K1 b - - 5 27,b,"[""b8h8""]",439,-427,-501,74,1000.0,0,cahxree_2024_2025.pgn#45#ply54,2025-12-02 21:27:53,0
309,8/2p2rbk/p1p2p1B/2P1p2R/2N1P3/P2P2PR/6KP/1r6 b - - 1 34,b,"[""h7g6""]",624,-622,-688,66,1000.0,0,cahxree_2024_2025.pgn#45#ply68,2025-12-02 21:27:56,0
310,rnbqk2r/ppp1ppbp/3p1np1/8/4P3/1PN2N2/PBPP1PPP/R2QKB1R b KQkq - 3 5,b,"[""f6e4""]",-150,160,32,128,1000.0,0,cahxree_2024_2025.pgn#46#ply10,2025-12-02 21:27:59,0
311,rnb2rk1/ppq1ppbp/3p1np1/8/N2NP3/1P1B4/PBP2PPP/R2Q1RK1 b - - 4 10,b,"[""c8d7""]",-23,21,-30,51,1000.0,0,cahxree_2024_2025.pgn#46#ply20,2025-12-02 21:28:01,0
312,r4rk1/1pq1pp1p/p1bp2p1/8/2PbNP2/1P1B4/P5PP/1R1Q1R1K b - - 3 17,b,"[""e7e6""]",-222,224,41,183,1000.0,0,cahxree_2024_2025.pgn#46#ply34,2025-12-02 21:28:05,0
313,r6r/1pq1ppk1/p1bp1b2/5PP1/2P5/1P1B2Q1/P5P1/1R3RK1 b - - 2 25,b,"[""c7b6""]",-604,625,464,161,1050.0,0,cahxree_2024_2025.pgn#46#ply50,2025-12-02 21:28:08,0
314,r6r/1pq1ppk1/p1bp4/5PP1/2Pb4/1P1B2Q1/P4RP1/1R4K1 b - - 4 26,b,"[""c7b6""]",-501,502,406,96,1050.0,0,cahxree_2024_2025.pgn#46#ply52,2025-12-02 21:28:09,0
315,r6r/1p2kp2/p1bp4/8/2Pq1R2/1P1B2Q1/P3K1P1/8 b - - 3 32,b,"[""a8g8""]",-620,640,584,56,1050.0,0,cahxree_2024_2025.pgn#46#ply64,2025-12-02 21:28:12,0
316,r6r/1p2kp2/p1bp4/4q3/2P2R2/1P1B2Q1/P2K2P1/8 b - - 5 33,b,"[""a8g8""]",-767,794,531,263,1050.0,0,cahxree_2024_2025.pgn#46#ply66,2025-12-02 21:28:12,1
317,r5r1/1p2kp2/p1bp4/4q3/2P2R1Q/1P1B4/P2K2P1/8 b - - 7 34,b,"[""e7f8""]",-559,567,452,115,1050.0,0,cahxree_2024_2025.pgn#46#ply68,2025-12-02 21:28:13,0
318,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,b,"[""e7e5""]",21,-37,-94,57,1000.0,0,cahxree_2024_2025.pgn#47#ply2,2025-12-02 21:28:13,0
319,r2q1rk1/pbppbppp/1pn1p3/4P3/2PP4/P4N2/1PQ1BPPP/R1B2RK1 b - - 0 11,b,"[""d7d6""]",77,-84,-261,177,1000.0,0,cahxree_2024_2025.pgn#47#ply22,2025-12-02 21:28:18,0
320,r2q1rk1/pbppbpp1/1pn1p2p/4P3/2PP4/P2Q1N2/1P2BPPP/R1B2RK1 b - - 1 12,b,"[""d7d5""]",43,-34,-199,165,1000.0,0,cahxree_2024_2025.pgn#47#ply24,2025-12-02 21:28:19,0
321,r2q1rk1/1bp1npp1/1p1bp2p/p7/2PP4/P2QBN2/1PB2PPP/R4RK1 b - - 3 16,b,"[""e7f5""]",-72,65,-227,292,1000.0,0,cahxree_2024_2025.pgn#47#ply32,2025-12-02 21:28:20,0
322,r4rk1/2p3p1/1p1bp2p/p4p2/2PP1n1q/P3B3/1PB2P1P/R3RQ1K b - - 1 21,b,"[""f4d3""]",-368,368,193,175,1000.0,0,cahxree_2024_2025.pgn#47#ply42,2025-12-02 21:28:23,0
323,4rrk1/2p3p1/1p1bp2p/p4p2/2PP1n1q/P3B3/1PB2P1P/R3R1QK b - - 3 22,b,"[""f4h3""]",-512,509,49,460,1200.0,0,cahxree_2024_2025.pgn#47#ply44,2025-12-02 21:28:23,1
324,4r1k1/2p3p1/1p1bpr1p/p4p2/2PP1B1q/P7/1PB2P1P/R3R1QK b - - 0 23,b,"[""d6f4""]",-567,503,430,73,1050.0,0,cahxree_2024_2025.pgn#47#ply46,2025-12-02 21:28:24,0
325,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,b,"[""f8e7""]",18,-24,-80,56,1000.0,0,cahxree_2024_2025.pgn#48#ply6,2025-12-02 21:28:26,0
326,r1bqkbnr/pppn1pp1/3p3p/8/2BNP3/2N5/PPP2PPP/R1BQK2R b KQkq - 2 6,b,"[""g7g6""]",114,-110,-167,57,1000.0,0,cahxree_2024_2025.pgn#48#ply12,2025-12-02 21:28:27,0
327,r1bqkb1r/ppp2pp1/3p1n1p/4n3/3NP3/1BN5/PPP2PPP/R1BQ1RK1 b kq - 6 8,b,"[""f8e7""]",128,-115,-217,102,1000.0,0,cahxree_2024_2025.pgn#48#ply16,2025-12-02 21:28:28,0
328,r1bqkb1r/ppp2p2/3p1nnp/8/3NP3/1BN3B1/PPP3PP/R2Q1RK1 b kq - 2 11,b,"[""f8g7""]",248,-263,-100000,99737,1150.0,0,cahxree_2024_2025.pgn#48#ply22,2025-12-02 21:28:30,0
329,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq - 0 4,b,"[""f8e7""]",-5,0,-50,50,1000.0,0,cahxree_2024_2025.pgn#49#ply8,2025-12-02 21:28:32,0
330,r1bqk2r/ppp2ppp/2n1pn2/3p4/1bPP4/2NBPN2/PP3PPP/R1BQK2R b KQkq - 4 6,b,"[""e8g8""]",29,-25,-87,62,1000.0,0,cahxree_2024_2025.pgn#49#ply12,2025-12-02 21:28:32,0
